Nome,CNPJ,setor_economico_bovespa,data,ValorMercado,TotEmFiLP,TotEmFiCP,Receita,PtLqCo,PasNoCir,PasCir,LucroLiquido,Imobil,Fornec,CxOper,Estoques,EBIT,DvPgCP,DeprAmor,ClieCP,CtaRecCP,DpInCP,CaixaEEqCx,AtivoTot,AtvCir,ApFiVrJuLP,AplFin,ApFiVrJuCP,AFAvCAmLP,AFAvCAmCP,linha_na,aplfin,caixaeqvcaixa,contasreceber
AES Tiete E,04128563000110,Utilidade pública,Mar 2015,NA,3369436,1613165,3622111,6138304,7382714,5306419,109763,3150243,1799535,51606,59848,410230,6164,195974,0,2474576,0,255451,18827437,5662022,0,0,1566768,0,0,1,1566768,255451,2474576
AES Tiete E,04128563000110,Utilidade pública,Jun 2015,NA,3453194,1119978,7289826,6169617,7476300,4874705,196156,3142430,1786740,102308,62224,707382,6241,426018,0,2382324,0,156747,18520622,5200685,0,0,1248316,0,0,1,1248316,156747,2382324
AES Tiete E,04128563000110,Utilidade pública,Set 2015,NA,3808817,1241615,10841474,6157779,7888059,5458219,240095,3167009,1953600,283328,60728,934816,6124,622772,0,2667886,0,154924,19504057,5836578,0,0,1502119,0,0,1,1502119,154924,2667886
AES Tiete E,04128563000110,Utilidade pública,Dez 2015,NA,1231061,160597,2625821,2018466,1702380,915933,393583,3145358,352076,668729,0,1163518,36828,259431,0,299511,0,558,4636779,1185381,0,0,746210,0,0,1,746210,558,299511
AES Tiete E,04128563000110,Utilidade pública,Mar 2016,6091405.34,1239109,183461,383152,2092971,1710251,647938,74462,3136044,332062,18411,0,136307,36828,42763,0,164442,0,545,4451160,1015259,0,0,733676,0,0,1,733676,545,164442
AES Tiete E,04128563000110,Utilidade pública,Jun 2016,5759304.36,1080387,326176,795213,1678351,1569743,785266,177570,3133151,340705,218247,0,340033,1789,80815,0,154153,0,662,4033360,617507,0,0,346190,0,0,1,346190,662,154153
AES Tiete E,04128563000110,Utilidade pública,Set 2016,6590739.75,1085794,352737,1197637,1657571,1583570,879807,275416,3102428,368247,462757,0,518038,1872,117324,0,150830,0,7293,4120948,742820,0,0,458955,0,0,1,458955,7293,150830
AES Tiete E,04128563000110,Utilidade pública,Dez 2016,5524818.15,1190794,255776,1561348,1578099,1693535,827945,358533,3089307,411782,630440,0,644376,52569,160987,0,151817,0,72086,4099579,776479,0,0,505531,0,0,1,505531,72086,151817
AES Tiete E,04128563000110,Utilidade pública,Mar 2017,5343535.45,1098185,376773,403166,1705810,1616429,932437,126000,3074642,405316,180638,0,221878,52551,43325,0,184769,0,80187,4254676,952494,0,0,651860,0,0,1,651860,80187,184769
AES Tiete E,04128563000110,Utilidade pública,Jun 2017,5327443,1494596,918461,802557,1628360,2025786,1495745,216978,3064947,439698,336959,0,393649,1493,87222,0,231466,0,200467,5149891,1869826,0,0,1383639,0,0,1,1383639,200467,231466
